G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,epsilon,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,1,36042,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 549, 749, 929, 1231, 1653, 2123, 2709, 3228, 3658, 3793, 3564, 3116, 2516, 1867, 1285, 847, 528, 316, 166, 81, 20, 14, 5, 5, 3, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,9,36249,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 493, 599, 729, 1031, 1332, 1886, 2329, 2923, 3445, 3820, 3807, 3589, 3000, 2303, 1618, 1105, 743, 427, 259, 117, 65, 12, 3, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,2,36297,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 436, 516, 678, 911, 1209, 1638, 2149, 2741, 3352, 3770, 3968, 3636, 3163, 2485, 1799, 1317, 840, 517, 279, 161, 75, 33, 12, 0, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,4,36459,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 525, 567, 727, 965, 1266, 1681, 2165, 2774, 3364, 3702, 3840, 3592, 3074, 2434, 1883, 1273, 875, 512, 342, 161, 81, 29, 10, 2, 4, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,9,36329,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 563, 697, 899, 1237, 1545, 2073, 2655, 3244, 3777, 3864, 3703, 3229, 2564, 1897, 1328, 769, 539, 315, 189, 100, 34, 12, 5, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,9,36496,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 464, 582, 754, 1037, 1354, 1833, 2389, 2938, 3475, 3840, 3844, 3673, 2953, 2272, 1688, 1126, 725, 441, 240, 147, 60, 28, 10, 7, 4, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,4,35556,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 454, 574, 682, 980, 1289, 1674, 2183, 2667, 3152, 3588, 3712, 3451, 3106, 2454, 1833, 1269, 795, 496, 302, 175, 78, 25, 5, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,7,35859,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 489, 543, 725, 923, 1249, 1684, 2095, 2737, 3210, 3624, 3688, 3553, 3138, 2436, 1840, 1248, 833, 535, 344, 187, 102, 48, 11, 4, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,8,36111,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 482, 568, 726, 1032, 1438, 1858, 2380, 2947, 3474, 3785, 3896, 3471, 2870, 2213, 1651, 1095, 722, 448, 246, 118, 47, 26, 3, 3, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,1,36234,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 489, 541, 656, 865, 1165, 1541, 1898, 2384, 2887, 3403, 3708, 3699, 3308, 2870, 2139, 1570, 1064, 635, 372, 212, 137, 50, 18, 6, 5, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,6,36312,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 455, 543, 705, 868, 1176, 1598, 2058, 2596, 3221, 3516, 3778, 3710, 3233, 2639, 1931, 1377, 945, 621, 374, 188, 106, 45, 13, 3, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,3,35678,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 429, 511, 619, 808, 1101, 1434, 1894, 2333, 2813, 3314, 3563, 3622, 3262, 2831, 2154, 1628, 1085, 690, 441, 267, 148, 65, 28, 15, 7, 3, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,0,36359,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 583, 745, 944, 1236, 1764, 2203, 2845, 3410, 3848, 3851, 3733, 3093, 2425, 1741, 1165, 775, 455, 257, 122, 58, 15, 3, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,5,36108,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 496, 624, 798, 1097, 1482, 1941, 2397, 2918, 3314, 3732, 3664, 3322, 2845, 2162, 1623, 1073, 663, 435, 231, 135, 54, 15, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,Degree_total_noisy,7,36235,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 555, 717, 1001, 1336, 1788, 2359, 2836, 3353, 3834, 3936, 3605, 3132, 2341, 1749, 1093, 704, 400, 210, 119, 60, 17, 5, 3, 0]"
