id,peak,total
1020,7944,46524
1033,7969,46610
1022,8009,46595
1023,7856,46575
1026,7939,46592
1025,7926,46483
995,16838,89018
1030,7750,46745
951,17278,88279
957,17123,88321
947,17118,88575
1035,7956,46631
1027,7921,46611
1028,7945,46590
962,17061,88682
991,16957,88651
1041,7690,46367
964,16972,88439
1036,7917,46323
969,16717,88398
1032,7887,46864
1037,7835,46466
1031,8053,46650
1034,7921,46465
1045,7796,46518
986,16930,88637
963,16975,88722
981,17054,88831
961,16897,88667
1038,7931,46611
979,16994,88401
1046,7831,46482
976,17122,88536
965,16906,88421
974,17038,88772
975,17141,88697
985,17314,88733
1042,7849,46379
1039,7845,46624
1040,7838,46493
1048,7836,46519
1047,8016,46620
1044,7968,46531
1055,7992,46594
977,16743,88540
1043,7885,46689
1053,7842,46448
971,16915,88363
1049,7929,46694
1064,7992,46515
988,17245,88562
1051,7769,46436
1052,7822,46819
972,16860,88572
1050,8080,46304
1054,8010,46924
994,17117,88594
984,17192,88644
1057,7964,46413
989,17336,88766
1071,7692,46377
1067,7846,46558
968,16686,88503
1066,7772,46656
990,16836,88664
1001,17027,88769
1063,7790,46321
1079,7853,46529
1056,7892,46650
1060,7949,46574
1062,8002,46720
1058,7888,46475
1059,7888,46509
982,16966,88452
1065,7659,46563
987,17204,88708
980,16779,88667
1061,7949,46483
1002,16708,88564
1086,7634,46183
1070,7843,46359
997,16881,88742
1073,7657,46495
1068,7905,46370
1072,7744,46299
1069,7821,46534
1096,7920,46323
973,16870,88418
1076,8002,46494
1099,7840,46377
1082,7870,46458
1074,7721,46291
1102,7642,46404
1081,7858,46377
1075,7683,46460
1077,7764,46443
1094,7996,46376
1095,8118,46486
1087,7782,46329
996,16904,88454
1105,7791,46515
1083,7750,45987
1080,7638,46365
1085,7821,46321
1103,7757,46374
1091,7861,46343
1089,7797,46322
1078,8038,46595
1097,7808,46409
1093,7872,46419
1084,7876,46411
1090,7668,46073
999,16903,88750
993,16938,88851
1098,7782,46507
1088,7862,46641
1092,7767,46234
1007,16844,88635
1114,7781,46227
992,16831,88801
1100,7681,46290
1112,7659,46206
1008,16799,88520
1101,7865,46456
1000,16975,88810
1106,7770,46298
1104,7650,46462
998,17046,88922
1113,7710,46200
1009,16760,88340
1107,7820,46522
1111,7741,46249
1120,7690,46316
1116,7667,46296
1110,7744,46549
1135,7464,46053
1109,7564,46006
1132,7860,46455
1123,7391,46101
1133,7622,46126
1108,7750,46163
1119,7666,46614
1121,7743,46110
1115,7705,46255
1125,7788,46325
1005,16983,88513
1004,17018,88863
1118,7731,46131
1128,7698,46509
1003,16953,88706
1148,7443,46098
1117,7762,46262
1006,16808,88128
1122,7854,46172
1124,7564,46171
1127,7561,46127
1130,7792,46143
1129,7879,46499
1141,7792,46288
1137,7881,46301
1134,7868,46358
1147,7569,45875
1126,7692,46157
1131,7821,45876
1145,7803,46294
1138,7672,46192
1146,7856,46377
1144,7645,46132
1152,7652,46274
1142,7606,45972
1139,7710,46323
1140,7596,46220
1153,7776,46312
1136,7688,46240
1143,7555,46290
1151,7697,46222
1158,7784,46668
1160,7642,46311
1149,7683,46337
1156,7745,46208
1171,7723,46221
1159,7508,46205
1157,7624,46152
1150,7392,45791
1155,7734,46081
1154,7588,46116
1176,7547,46317
1173,7766,46213
1162,7730,46192
1161,7660,46037
1165,7552,46029
1181,7555,46265
1175,7493,46122
1192,7594,46281
1174,7719,46466
1169,7693,46234
1177,7432,46218
1182,7541,46076
1167,7551,45914
1163,7514,46424
1168,7685,46262
1164,7617,46019
1170,7710,46172
1166,7525,46064
1185,7543,46088
1199,7450,46133
1179,7617,46538
1188,7515,46019
1172,7624,46310
1193,7525,45876
1178,7500,46060
1180,7518,45993
1191,7345,46152
1190,7353,46010
1187,7678,46219
1184,7824,46443
1186,7421,45858
1194,7643,46099
1198,7579,46012
1210,7687,46127
1183,7446,46122
1189,7562,46281
1200,7493,45973
1203,7640,45634
