id,milp_obj,expected_obj,I_size,v1_size,v2_size,time
76,0,0,0,0,0,0.00022178700601216406
77,0,0,1,0,0,0.00023003100068308413
78,0.006656825635417456,0.006656825635417363,2,6,9,0.00029073400946799666
81,0.10129585508976122,0.10243493345250365,10,56,136,0.0003588359977584332
82,0,0,0,0,0,0.0001645259908400476
83,64.26148045559046,78.46138580704373,162,3059,23621,0.0070189190009841695
86,0.9454468676358319,0.9967183887902537,114,543,1199,0.0013247169990791008
88,0,0,0,0,0,0.00014186599582899362
74,152.42773978701493,228.99839615943807,5815,27107,16539,0.11180175500339828
80,256.15090369028184,450.691952865382,4015,30599,24743,0.06920657299633604
89,0.11210392799220913,0.11223213801423804,20,65,169,0.00039123599708545953
84,264.74926757735847,424.68361570862885,993,14664,39651,0.03206784299982246
90,0,0,0,0,0,0.00014056700456421822
79,122.38879631043163,169.80543255005134,5647,23201,14731,0.05223173800914083
93,0.33837549055511523,0.34232727028417287,52,190,414,0.0006576979940291494
85,302.1886633482058,532.2351677372924,1748,21614,36061,0.04829760499706026
91,56.53872820133827,69.58326180336672,3055,11921,11894,0.02825214200129267
96,0.09695955473429956,0.09928176658547172,17,56,135,0.000329937000060454
87,232.26612113991487,394.3585877317514,4564,30919,22426,0.06785202500759624
95,0.0502033930495118,0.05060730262135793,5,21,56,0.0004908400005660951
94,78.60152490047575,102.31935664296826,4198,15844,13127,0.034151397994719446
100,0.1280479457015307,0.1361836328931002,16,74,172,0.00036365899723023176
98,122.0773870156794,156.97485182929395,263,5102,31559,0.01068710899562575
99,46.0496133400332,54.7900210753229,2519,9403,10642,0.021930326998699456
92,225.01515657530967,372.64493995951847,4747,30444,21666,0.06953968899324536
97,65.20259487783706,82.4998515865691,3720,13947,12237,0.03135351699893363
101,0.0854320477278761,0.09180385241747202,12,59,104,0.0006248279969440773
103,44.79355338930251,54.00354787891553,2371,9243,10771,0.021260445995721966
104,27.88993095363968,31.80258136864278,1575,6133,8556,0.01438744500046596
105,29.660025319083534,33.99209393664996,91,1536,14534,0.003378298002644442
106,0,0,0,0,0,0.00014077099331188947
107,0.615865346316752,0.6487516913114345,61,287,655,0.000908519999939017
108,44.45527723777047,52.55227999883459,111,2125,18622,0.0054145250032888725
109,17.282404701308334,19.3131334186376,63,1072,10878,0.003316437010653317
102,278.1996398625887,495.7549620771802,3281,29015,27754,0.0649904079909902
111,0.11382405859373594,0.12181104720598457,21,97,191,0.00045193701225798577
112,77.17148850433856,93.83341486088133,184,3277,25272,0.00719420200039167
113,35.26429655224293,41.5739950619588,90,1805,16164,0.004123165999772027
115,0.03468878061667613,0.03468878061667624,6,18,49,0.0002212450053775683
114,9.796280001031466,10.624389500386004,552,2475,4526,0.007197550992714241
110,298.5559743902598,523.3321343154657,1725,21102,36276,0.04593838499567937
116,85.11114999591547,107.81190594967129,221,3818,27014,0.00864748599997256
117,48.54534767751221,57.60578582212162,2552,9743,11026,0.02267280500382185
