id,graph,budget,agent,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
124,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma11.json,0,77373
125,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me12.json,0,79575
126,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf34.json,0,96354
127,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj20.json,0,84651
128,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md29.json,0,63335
129,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj13.json,0,10965
130,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma28.json,0,24538
131,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml22.json,0,70592
132,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md10.json,0,98018
133,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc26.json,0,8110
134,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp8.json,0,79309
135,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm16.json,0,27266
136,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn11.json,0,52992
137,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf24.json,0,82948
138,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me5.json,0,98806
139,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml20.json,0,6910
140,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo26.json,0,90982
141,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo25.json,0,206
142,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma9.json,0,87054
143,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb5.json,0,87897
144,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml33.json,0,23419
145,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc12.json,0,50636
146,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf6.json,0,50015
147,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo11.json,0,54268
148,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk22.json,0,87939
149,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml10.json,0,18141
150,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh10.json,0,80356
151,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me8.json,0,71910
152,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo9.json,0,56044
153,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md25.json,0,67214
154,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp23.json,0,33827
155,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj34.json,0,55820
156,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm12.json,0,62623
157,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo21.json,0,81734
158,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb11.json,0,75450
159,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml35.json,0,93426
160,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma17.json,0,22299
161,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk8.json,0,43585
162,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk19.json,0,64044
163,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn16.json,0,42557
164,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp25.json,0,49080
165,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma26.json,0,2693
166,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn5.json,0,95003
167,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml23.json,0,95259
168,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj18.json,0,69163
169,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj16.json,0,25939
