G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,k_1,k_2,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.03,0.7,9,40626,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 694, 1192, 1856, 2781, 3965, 4944, 5566, 5234, 4377, 3247, 2314, 1451, 831, 478, 294, 148, 78, 54, 15, 8, 1, 1, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,4,40193,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 788, 1298, 1987, 3025, 4295, 5148, 5472, 5052, 4110, 2986, 2010, 1268, 714, 422, 235, 148, 69, 43, 17, 3, 8, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,5,40429,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 749, 1195, 1877, 2784, 3932, 4984, 5574, 5280, 4431, 3231, 2126, 1371, 759, 495, 263, 157, 74, 36, 12, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,0,40571,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 502, 796, 1252, 1974, 2912, 3914, 4896, 5495, 5329, 4449, 3172, 2098, 1302, 791, 443, 283, 145, 111, 53, 30, 13, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,7,40429,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 756, 1243, 1971, 2894, 4024, 4992, 5564, 5169, 4312, 3238, 2040, 1327, 813, 459, 251, 155, 81, 30, 10, 1, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,2,40535,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 768, 1237, 1906, 2902, 3960, 4920, 5412, 5283, 4380, 3303, 2130, 1365, 815, 470, 274, 149, 97, 48, 18, 14, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,9,40858,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 672, 1187, 1841, 2773, 4005, 5070, 5727, 5445, 4498, 3241, 2196, 1293, 752, 479, 269, 150, 85, 42, 20, 7, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,6,40436,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 731, 1238, 1947, 2959, 4054, 5074, 5555, 5303, 4376, 3124, 2060, 1251, 776, 420, 245, 124, 57, 33, 14, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.04,0.7,8,40285,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 739, 1202, 1875, 2734, 3937, 4885, 5444, 5128, 4375, 3222, 2268, 1388, 906, 483, 287, 165, 88, 40, 20, 6, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,0.7,2,40287,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 459, 749, 1138, 1838, 2724, 3881, 4875, 5517, 5384, 4471, 3353, 2180, 1359, 746, 481, 244, 140, 69, 43, 15, 9, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,0.7,1,40122,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 468, 688, 1157, 1877, 2808, 4040, 5135, 5650, 5324, 4211, 3052, 2019, 1306, 764, 475, 250, 147, 78, 40, 16, 4, 3, 0]"
