G,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,target,trial_id,equivalent_budget
montgomery,none,0.05,True,0.71,True,1,c7.json,segmented_greedy,35135,0,1235
montgomery,none,0.05,True,0.92,True,1,c7.json,DegGreedy_fair,35135,0,537
montgomery,none,0.05,True,0.76,True,1,c7.json,segmented_greedy,35135,0,1142
montgomery,none,0.05,True,0.75,True,1,c7.json,segmented_greedy,35135,0,1161
montgomery,none,0.05,True,0.7,True,1,c7.json,segmented_greedy,35135,0,1246
montgomery,none,0.05,True,0.69,True,1,c7.json,segmented_greedy,35135,0,1278
montgomery,none,0.05,True,0.72,True,1,c7.json,segmented_greedy,35135,0,1214
montgomery,none,0.05,True,0.93,True,1,c7.json,DegGreedy_fair,35135,0,524
montgomery,none,0.05,True,0.77,True,1,c7.json,segmented_greedy,35135,0,1136
montgomery,none,0.05,True,0.74,True,1,c7.json,segmented_greedy,35135,0,1182
montgomery,none,0.05,True,0.78,True,1,c7.json,segmented_greedy,35135,0,1112
montgomery,none,0.05,True,0.94,True,1,c7.json,DegGreedy_fair,35135,0,517
montgomery,none,0.05,True,0.8,True,1,c7.json,DepRound_fair,35135,0,665
montgomery,none,0.05,True,0.81,True,1,c7.json,DepRound_fair,35135,0,650
montgomery,none,0.05,True,0.95,True,1,c7.json,DegGreedy_fair,35135,0,511
montgomery,none,0.05,True,0.82,True,1,c7.json,DepRound_fair,35135,0,652
montgomery,none,0.05,True,0.96,True,1,c7.json,DegGreedy_fair,35135,0,507
montgomery,none,0.05,True,0.83,True,1,c7.json,DepRound_fair,35135,0,639
montgomery,none,0.05,True,0.97,True,1,c7.json,DegGreedy_fair,35135,0,504
montgomery,none,0.05,True,0.84,True,1,c7.json,DepRound_fair,35135,0,631
montgomery,none,0.05,True,0.85,True,1,c7.json,DepRound_fair,35135,0,622
montgomery,none,0.05,True,0.98,True,1,c7.json,DegGreedy_fair,35135,0,492
montgomery,none,0.05,True,0.86,True,1,c7.json,DepRound_fair,35135,0,614
montgomery,none,0.05,True,0.99,True,1,c7.json,DegGreedy_fair,35135,0,492
montgomery,none,0.05,True,0.87,True,1,c7.json,DepRound_fair,35135,0,602
montgomery,none,0.05,True,0.88,True,1,c7.json,DepRound_fair,35135,0,596
montgomery,none,0.05,True,0.81,True,1,c7.json,segmented_greedy,35135,0,1068
montgomery,none,0.05,True,0.89,True,1,c7.json,DepRound_fair,35135,0,585
montgomery,none,0.05,True,1.0,True,1,c7.json,DegGreedy_fair,35135,0,480
montgomery,none,0.05,True,0.9,True,1,c7.json,DepRound_fair,35135,0,578
montgomery,none,0.05,True,0.79,True,1,c7.json,segmented_greedy,35135,0,1096
montgomery,none,0.05,True,0.8,True,1,c7.json,segmented_greedy,35135,0,1088
montgomery,none,0.05,True,0.91,True,1,c7.json,DepRound_fair,35135,0,570
montgomery,none,0.05,True,0.82,True,1,c7.json,segmented_greedy,35135,0,1054
montgomery,none,0.05,True,0.83,True,1,c7.json,segmented_greedy,35135,0,1039
montgomery,none,0.05,True,0.84,True,1,c7.json,segmented_greedy,35135,0,1020
montgomery,none,0.05,True,0.89,True,1,c7.json,segmented_greedy,35135,0,961
montgomery,none,0.05,True,0.92,True,1,c7.json,DepRound_fair,35135,0,566
montgomery,none,0.05,True,0.85,True,1,c7.json,segmented_greedy,35135,0,1012
montgomery,none,0.05,True,0.86,True,1,c7.json,segmented_greedy,35135,0,999
montgomery,none,0.05,True,0.87,True,1,c7.json,segmented_greedy,35135,0,988
montgomery,none,0.05,True,0.88,True,1,c7.json,segmented_greedy,35135,0,980
montgomery,none,0.05,True,0.93,True,1,c7.json,DepRound_fair,35135,0,559
montgomery,none,0.05,True,0.9,True,1,c7.json,segmented_greedy,35135,0,951
montgomery,none,0.05,True,0.91,True,1,c7.json,segmented_greedy,35135,0,936
montgomery,none,0.05,True,0.94,True,1,c7.json,DepRound_fair,35135,0,547
montgomery,none,0.05,True,0.92,True,1,c7.json,segmented_greedy,35135,0,929
montgomery,none,0.05,True,0.95,True,1,c7.json,DepRound_fair,35135,0,545
montgomery,none,0.05,True,0.96,True,1,c7.json,DepRound_fair,35135,0,532
montgomery,none,0.05,True,0.93,True,1,c7.json,segmented_greedy,35135,0,917
montgomery,none,0.05,True,0.97,True,1,c7.json,DepRound_fair,35135,0,528
montgomery,none,0.05,True,0.94,True,1,c7.json,segmented_greedy,35135,0,905
montgomery,none,0.05,True,1.0,True,1,c7.json,DepRound_fair,35135,0,517
montgomery,none,0.05,True,0.95,True,1,c7.json,segmented_greedy,35135,0,903
montgomery,none,0.05,True,0.98,True,1,c7.json,DepRound_fair,35135,0,524
montgomery,none,0.05,True,0.99,True,1,c7.json,DepRound_fair,35135,0,522
montgomery,none,0.05,True,0.96,True,1,c7.json,segmented_greedy,35135,0,892
montgomery,none,0.05,True,0.97,True,1,c7.json,segmented_greedy,35135,0,879
montgomery,none,0.05,True,0.98,True,1,c7.json,segmented_greedy,35135,0,868
montgomery,none,0.05,True,0.99,True,1,c7.json,segmented_greedy,35135,0,864
montgomery,none,0.05,True,1.0,True,1,c7.json,segmented_greedy,35135,0,858
