G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,q_age_count,infection_count,infections_step
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,9,"[0.04999845683775192, 0.09410412218755132, 0.04869631901840491, 0.05033045246568378, 0.05072592067988668]",38885,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 446, 685, 964, 1381, 1939, 2686, 3583, 4463, 4851, 4759, 4034, 3127, 2081, 1348, 847, 516, 290, 151, 85, 30, 6, 3, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,8,"[0.05154161908583069, 0.09303662341928066, 0.05253067484662577, 0.051093035078800204, 0.0510800283286119]",39141,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 646, 945, 1302, 1860, 2639, 3390, 4290, 4776, 4715, 4183, 3266, 2316, 1529, 934, 586, 327, 189, 92, 62, 18, 3, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,1,"[0.04959723465325144, 0.09246181639021185, 0.05112474437627812, 0.04931367564819522, 0.05302762039660057]",39077,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 446, 619, 936, 1303, 1898, 2635, 3577, 4312, 5032, 4925, 4173, 3214, 2144, 1364, 816, 458, 281, 177, 101, 32, 16, 7, 1, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,7,"[0.050430542267213975, 0.092051239940877, 0.051891615541922294, 0.046263345195729534, 0.049043909348441925]",39082,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 711, 1024, 1457, 2070, 2911, 3669, 4373, 4692, 4633, 3973, 2955, 2064, 1414, 921, 552, 294, 172, 73, 38, 6, 3, 0, 1, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,5,"[0.05006018332767507, 0.09591065856462473, 0.05093302658486708, 0.053634977122521604, 0.052053824362606235]",38927,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 481, 690, 1022, 1390, 1976, 2747, 3643, 4354, 4846, 4697, 3902, 3075, 2154, 1411, 817, 520, 291, 153, 79, 42, 15, 8, 3, 0, 1, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,0,"[0.04786889293540323, 0.04820167515191329, 0.04952709611451943, 0.08617183528215556, 0.09118271954674222]",39047,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 461, 631, 915, 1341, 1929, 2639, 3564, 4427, 4831, 4718, 4000, 3236, 2262, 1537, 870, 527, 289, 160, 64, 28, 6, 1, 1, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,1,"[0.04882565352921206, 0.05009032681885367, 0.04690695296523517, 0.08744280630401627, 0.08994334277620397]",38559,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 663, 981, 1420, 1980, 2769, 3584, 4431, 4834, 4780, 3873, 2923, 2098, 1321, 837, 469, 276, 158, 68, 23, 10, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,2,"[0.04796148267028796, 0.04598456232550501, 0.04792944785276074, 0.08668022369089985, 0.08888101983002833]",38819,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 509, 673, 1057, 1541, 2239, 2999, 3904, 4506, 4820, 4527, 3796, 2728, 2028, 1202, 741, 448, 236, 145, 63, 36, 9, 2, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,3,"[0.04854788432455789, 0.05033667268845459, 0.05061349693251534, 0.08718861209964412, 0.08896954674220964]",39021,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 456, 649, 923, 1298, 1955, 2674, 3584, 4247, 4727, 4655, 4123, 3175, 2267, 1496, 1021, 558, 321, 148, 80, 39, 13, 2, 0]"
montgomery,250,young,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,4,"[0.04888738001913521, 0.04910494334044999, 0.04920756646216769, 0.08718861209964412, 0.08852691218130311]",38976,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 677, 978, 1507, 2214, 2984, 3883, 4662, 4744, 4525, 3792, 2898, 1986, 1298, 807, 453, 275, 136, 60, 21, 9, 3, 1, 0]"
