id,milp_obj,expected_obj,is_optimal,I_size,v1_size,v2_size,total_cross_edges,D,time
125,293.8222043862571,508.8078841084008,,1375,18479,37945,148274,48,0.0011566909961402416
130,0.2507912313144856,0.2593129908446288,,35,141,332,374,5,0.00013610099267680198
118,221.5493464103687,371.25632010493246,,5000,30476,20964,75169,33,0.0020484790002228692
133,0.26094638482914634,0.2689742524398473,,42,152,375,400,5,0.0001346689969068393
131,23.199868828170885,26.099943952050648,,1187,4725,7311,9978,9,0.0007961660012369975
132,255.21841097752358,396.80463676046173,,797,12188,39994,124530,40,0.0008218639995902777
134,147.23576269695224,193.14005289529302,,333,5651,32865,68877,33,0.0006252320017665625
129,301.66873615622643,546.1698511900291,,2587,26368,31501,135755,56,0.0017324219952570274
137,4.123942317942181,4.345012399226505,,306,1260,2428,2827,6,0.0004709229979198426
138,6.657298603171818,7.517640720633322,,29,602,6533,8706,17,0.00032810799893923104
136,305.4211496720832,537.2140061123986,,1617,20852,36674,150694,39,0.0010261909919790924
140,8.359582339504804,8.985097035540829,,502,2025,3778,4593,8,0.0004798380105057731
139,58.98944434194953,72.41986305649495,,3037,11369,11744,20333,17,0.0009779479878488928
141,16.264448078051934,17.85359572387579,,835,3307,5679,7329,10,0.0005261499900370836
142,176.20655766189344,247.8710936481125,,451,7598,36814,90252,32,0.0006760409887647256
144,0.021773529329692873,0.021884506866522213,,5,23,41,42,2,6.946100620552897e-05
143,21.126800856934917,24.041629671286497,,54,1133,11320,15422,23,0.0006555720028700307
135,134.9422598764545,195.34306600665664,,5711,24502,15457,39276,26,0.0011752670106943697
146,20.88405790503247,22.9203870156656,,69,1126,11710,15663,24,0.00040410298970527947
147,111.10572911400014,139.91238470160695,,262,4276,28643,53621,27,0.0005493369972100481
148,31.83741166312615,36.483691981429395,,1551,6138,8722,12411,11,0.0006252860039239749
149,178.55653651183687,246.19783202405188,,440,7235,36306,84718,42,0.0006863820017315447
150,211.97472971716567,304.5296590849365,,540,8846,38250,99840,44,0.0006583829963346943
151,80.81933528717315,100.69650623459869,,162,3111,23977,41328,31,0.0005134300008649006
145,272.16278865845766,484.5226661772783,,3619,29778,26400,107955,34,0.001919741989695467
152,34.505611042572745,40.30942489708067,,98,1571,14421,21148,23,0.00044314599654171616
153,1.2358741006848006,1.2861448780403246,,153,656,1402,1584,7,0.0003695570048876107
155,7.315912730205268e-05,7.315912730210261e-05,,1,3,1,1,1,5.282499478198588e-05
154,5.062285462006127,5.438325823846716,,386,1561,3009,3546,7,0.0007753070094622672
159,0.0060926248601212915,0.0060926248601215205,,2,5,14,14,1,0.00011755101149901748
156,299.63010714409074,543.5433053320204,,2393,25401,32348,138978,62,0.0013660770055139437
157,86.8202596835239,113.43587170679584,,4449,16963,13331,26917,14,0.0013148920115781948
158,295.0136787732296,503.71481605213137,,1407,18817,37657,146518,42,0.0011902789992745966
161,61.37656147482152,73.15011533369272,,129,2434,20696,32196,32,0.00047442500363104045
164,0.7443540540234839,0.7881128206188722,,117,433,944,1092,6,0.0003439349966356531
165,0.5133858422184665,0.5475856677391967,,74,301,701,794,5,0.00018750099116005003
166,18.49762741730764,20.613338871954195,,60,1024,10752,14636,17,0.00041284099279437214
162,93.49172871757214,125.82136840253786,,4618,18092,13874,29208,29,0.0011567589972401038
167,13.379950216644392,14.469958464326432,,770,2995,5156,6480,10,0.0005208539951127023
160,112.48775246467017,154.19532377165282,,5316,20939,14347,32427,19,0.0024235750024672598
170,0.28045519819265147,0.2941472017111316,,35,150,335,404,5,0.0001525370025774464
171,0.14257251812796445,0.146557508065004,,20,89,200,226,4,0.00012875501124653965
163,130.5610965293884,185.78415045943657,,5708,23882,15358,37987,23,0.0016160109953489155
168,97.27448486461446,128.51158774225547,,4813,18445,13765,28984,19,0.001497651988756843
174,15.511469556682826,16.772412431320273,,792,3286,5628,7082,8,0.0005483339919010177
176,5.178696208043598,5.43601588990211,,338,1417,2790,3286,10,0.00048042400158010423
172,251.88490769712865,397.3731034873701,,851,12957,39916,129482,38,0.0009816209931159392
173,95.46312231890263,128.0375225342642,,4756,18279,13829,29769,34,0.0010785359918372706
178,0.09891746907241568,0.10553600017089637,,12,49,97,107,3,9.985298675019294e-05
177,211.1581716511504,304.0496873409697,,541,8977,38395,98695,41,0.0007683150033699349
179,0.04167747127191861,0.0422570322162783,,9,48,109,113,3,9.533599950373173e-05
180,4.791815892904526,5.085715585430478,,330,1427,2843,3375,6,0.0004851629928452894
169,169.03836214489633,261.27198943361765,,5771,28344,17326,50944,31,0.0019234710052842274
182,124.99812620485267,160.47397793367418,,260,4801,30452,59884,25,0.0005526510067284107
175,278.54888819235794,499.5405153274514,,3252,29252,28020,116911,43,0.0017129689949797466
184,0.10984562129809841,0.11208082558655386,,15,50,139,146,4,8.955500379670411e-05
185,0.014063025959748605,0.014063025959748399,,1,10,19,19,1,7.693500083405524e-05
183,70.45968378903301,88.76879172768979,,3691,13893,12392,22855,13,0.001103784001315944
187,0.02427762775575624,0.024345997724970925,,7,24,47,48,2,7.443300273735076e-05
188,73.69213599221163,88.16852380449939,,151,2576,21598,35447,25,0.0005037310038460419
186,302.1890763751942,526.7498993219168,,1520,19811,37203,148650,40,0.0014771849964745343
189,192.47858099522418,270.41818426194584,,452,7654,36813,89872,31,0.0006439550052164122
191,0,0,,0,0,0,0,0,0.00018788599118124694
192,19.028255370692403,21.084653116102192,,963,3833,6407,8373,10,0.0005143860034877434
194,0.10385237324482292,0.11624303755188681,,9,48,114,145,6,9.158099419437349e-05
181,172.44871454650968,266.6147887295255,,5738,28554,17436,51669,31,0.0023185839963844046
193,2.986178069403721,3.15522811000333,,230,1053,2127,2516,8,0.0005688719975296408
196,13.001845285693951,13.969044599549367,,646,2696,4780,5932,10,0.0004925090033793822
195,1.8165666629070814,1.9141482189198644,,195,817,1748,2012,9,0.0005578169948421419
198,0.15504801185897915,0.15896023877601295,,23,73,176,189,3,0.00010063299851026386
190,271.3565827177911,485.4099894497062,,3694,30017,25870,106763,42,0.0020363049989100546
201,25.8492529268445,29.28448032431823,,1400,5617,8049,11339,10,0.0007232170028146356
199,73.93283533869841,93.42746880775543,,3835,14387,12641,23527,28,0.0010902009962592274
203,2.90533706779072,3.0827175576795636,,240,997,2066,2420,8,0.0004254630039213225
197,270.4147364209661,488.28479612406176,,3581,29885,26457,109806,39,0.001469159993575886
204,5.052704801848923,5.683265393019959,,23,443,4959,6662,16,0.0002577760023996234
205,153.74174781255508,207.0324400213994,,328,5941,33447,72907,34,0.0006527759978780523
206,0.017082305172076047,0.017162523534643426,,3,12,25,26,2,6.771499465685338e-05
208,0.015719627477954985,0.015719627477954967,,4,13,23,23,1,6.741400284226984e-05
200,99.71456937088816,135.58461527330724,,4937,19559,13847,30126,25,0.0011943870049435645
207,50.22375582005352,60.06982675910449,,2698,10101,10979,18112,12,0.0007237099925987422
202,118.91927476942809,164.35252699600775,,5255,21443,14746,34375,20,0.0015590260009048507
210,5.116393796416832,5.365126659181412,,340,1438,2763,3215,7,0.0005917939997743815
212,15.990737789735805,18.223095285072407,,51,992,9872,13339,21,0.00041208100446965545
211,18.47395586055173,20.567035479396672,,969,3808,6218,8250,13,0.0005464569985633716
209,308.59564508925257,533.0009173054103,,1522,19907,37130,147898,54,0.0013071039866190404
