id,graph,budget,agent,agent_params,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
71,montgomery,750,binary_segmented_greedy,{'k1': 0.14},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,65697
72,montgomery,750,binary_segmented_greedy,{'k1': 0.14},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,37065
73,montgomery,750,binary_segmented_greedy,{'k1': 0.14},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,92093
74,montgomery,750,binary_segmented_greedy,{'k1': 0.14},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,99299
75,montgomery,750,binary_segmented_greedy,{'k1': 0.15},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,32606
76,montgomery,750,binary_segmented_greedy,{'k1': 0.15},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,11534
77,montgomery,750,binary_segmented_greedy,{'k1': 0.15},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,94663
78,montgomery,750,binary_segmented_greedy,{'k1': 0.15},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,40397
79,montgomery,750,binary_segmented_greedy,{'k1': 0.15},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,91387
80,montgomery,750,binary_segmented_greedy,{'k1': 0.16},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,1016
81,montgomery,750,binary_segmented_greedy,{'k1': 0.16},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,89789
82,montgomery,750,binary_segmented_greedy,{'k1': 0.16},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,55591
83,montgomery,750,binary_segmented_greedy,{'k1': 0.16},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,89812
84,montgomery,750,binary_segmented_greedy,{'k1': 0.16},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,23247
85,montgomery,750,binary_segmented_greedy,{'k1': 0.17},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,24300
86,montgomery,750,binary_segmented_greedy,{'k1': 0.17},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,74065
87,montgomery,750,binary_segmented_greedy,{'k1': 0.17},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,82798
