id,peak,total
522,9859,70643
527,9906,70611
526,9862,71009
528,10180,70985
532,9855,71013
529,10201,71263
531,9842,70699
530,10048,71376
537,10155,71010
540,9912,70690
534,10046,70920
552,10048,70718
535,10322,71039
555,10187,70753
533,10011,71037
539,10046,70969
536,9824,70845
538,10244,71352
541,10105,70673
543,9994,71039
549,10158,71052
545,10640,71267
542,10027,70997
546,10086,71003
544,10029,71001
551,9976,70965
548,9772,70810
558,10087,70947
547,10013,70693
562,9976,70459
550,10184,70938
554,10258,70512
556,10321,70858
553,10020,70578
561,10035,71238
557,9926,70434
559,9986,70772
560,10029,70619
568,10104,70472
566,10153,70931
564,10345,71042
563,10104,71375
572,9993,70549
571,10287,71221
575,10023,70908
565,9795,70299
567,9938,70980
580,10228,70938
573,10149,70716
569,9998,71089
574,9979,70581
570,10030,70887
579,10116,70625
578,9986,71047
576,10319,70679
584,10311,71125
589,10175,71252
585,10144,70814
586,10246,70895
583,10437,71177
581,10022,71096
587,10119,70994
582,10077,70309
577,10023,70478
588,10333,71294
594,10018,71117
591,10344,70754
603,10321,71066
590,10293,70653
593,9909,70678
595,9973,70756
602,9853,70753
607,10287,71172
592,10006,70964
597,10247,71003
598,10196,70585
600,10277,70932
596,10151,70979
606,9938,70645
601,10203,70978
599,9973,70736
604,10070,70640
608,10083,70892
615,10162,70921
611,10288,70904
605,10036,70850
610,9960,70568
609,10164,70672
614,9914,70791
618,10110,71242
612,10061,70808
613,10039,70830
616,10198,70874
619,10212,70740
631,9982,70704
617,10050,70995
622,10317,71001
624,10150,71138
629,10191,71007
626,9715,71516
621,9952,70851
627,10265,70970
632,10031,71042
625,10081,70992
620,9988,70577
623,10185,71113
639,10135,71173
630,10259,70851
636,10137,70780
628,10017,70761
633,9946,71212
634,9947,70990
637,10217,70941
635,10148,71153
646,10108,70947
638,10195,70847
642,10249,71385
640,10251,71166
645,9839,70990
644,10206,71079
649,10368,71399
643,10145,71001
651,9970,70929
650,10147,71330
661,9686,70980
641,10465,71225
647,10274,71050
658,10254,70961
660,10357,71241
648,9732,70780
652,10146,71050
654,10058,71350
657,10329,71319
655,10123,71419
653,10258,71448
659,10226,70743
667,10182,71313
665,10381,71440
656,9920,70785
662,9830,71086
663,10069,71485
666,9919,70875
669,9995,70834
675,10341,71207
680,10211,71045
664,9903,70936
668,10535,71252
673,10114,70746
670,10220,71488
674,10052,71136
671,10048,70827
678,10137,70755
676,10173,71096
677,10290,71145
672,10414,71614
679,10119,71394
681,10091,70837
688,10174,71176
682,10353,71001
684,10348,71334
683,10211,70863
687,10204,70777
686,10215,71194
685,9976,71098
697,9861,71026
698,10532,71068
691,10271,71310
689,9794,71076
699,10237,71303
692,10047,70915
694,9800,71059
690,10570,71064
703,10324,71420
700,9929,71183
695,10181,71250
693,10130,71081
696,10341,71413
705,10107,71312
711,9964,71288
702,9939,71311
710,10079,71251
701,9902,70844
704,9897,71022
706,9723,70821
707,9788,71101
721,9781,71416
712,10072,71332
713,10054,71338
708,10012,70939
709,9972,70898
718,10067,71252
714,10145,71327
717,9853,71140
715,10449,71553
716,10236,71028
725,10185,71111
720,9855,70620
719,9820,71067
727,10443,71393
730,10302,70921
723,9853,71035
732,10134,71655
722,10202,71670
724,10243,71456
728,10122,70929
740,10454,71391
735,10093,70919
737,10024,71184
726,10197,71184
733,10304,71737
734,10089,71517
729,10304,71159
739,10312,71765
731,10438,71859
741,10214,71359
738,10592,71645
750,9842,71093
753,10107,71477
736,10003,71027
751,10262,71269
742,10110,71275
755,9925,71083
743,10193,71250
745,10300,71177
749,9895,71603
744,10179,71436
746,10126,71187
754,9853,71100
760,9903,71454
747,10070,71853
758,10073,71847
756,10092,71641
748,10133,71154
759,10153,72008
752,9979,71138
757,10162,71533
767,10281,71720
761,10125,71396
764,10541,71653
765,10181,71487
766,10052,71559
762,10276,71688
763,9939,71528
768,10092,71280
774,9921,71335
772,10388,71364
769,10018,71929
773,10184,72006
776,10150,71681
770,10293,71440
771,10005,71384
778,10109,71029
775,10163,71392
777,9937,71238
779,10101,71626
780,10436,71711
781,10263,71740
784,10168,71928
785,9982,72011
783,10259,71865
786,9837,71356
782,10244,71917
787,9898,71687
788,10064,71108
790,10015,71886
789,10013,71177
791,10174,71812
792,10152,71094
793,9910,71666
794,10163,71607
795,9750,71238
796,10347,71852
797,10261,72101
798,10328,71736
799,10167,71635
801,10105,71618
800,9904,71223
802,10009,71427
806,9908,71287
803,10412,71751
804,10119,71604
807,10210,71925
805,9749,71398
808,10252,71763
810,10188,72335
809,9793,71441
812,10143,71455
813,10072,71871
811,10376,72022
814,10138,71802
815,10307,72045
816,10149,72158
817,10253,71811
818,10239,71408
819,10141,71423
820,10220,71960
821,10187,71684
822,10197,71585
823,10226,71637
825,10254,72149
824,10076,71950
827,10031,72024
826,10235,72260
828,10374,71614
829,9966,71648
830,10076,71929
833,10402,72098
831,10295,71883
836,10115,71568
832,10390,71733
834,10475,71872
835,10434,72068
837,10233,71668
838,9973,71694
839,10083,71934
840,10071,71843
842,10203,71783
841,10277,71949
844,10258,72256
843,10220,71946
845,10174,71647
847,10029,71890
846,10048,71968
848,10083,71813
849,10182,71733
851,10037,71848
850,9913,71908
852,9909,71838
853,10054,71741
854,10142,71836
855,10212,71825
857,10452,72003
858,9948,72101
856,9969,71673
859,10446,72150
860,10129,71958
861,10060,72040
863,10234,71930
862,10300,72098
865,10172,72098
864,10107,72302
866,10209,71914
867,10114,71791
868,10134,71637
869,10298,71782
870,10226,72058
871,10175,71822
872,9888,71476
873,9959,71598
875,10316,71905
874,10283,72155
877,10438,72157
876,10171,72318
878,10209,72093
879,10095,71690
880,9874,72110
882,10563,71988
883,10039,71974
881,10269,72070
884,10207,72099
885,9937,72281
887,10383,71955
886,10222,72178
889,10410,71687
888,10004,71769
891,10480,72192
892,10178,72191
890,10132,71698
894,9761,71987
893,10125,71803
895,10177,72272
896,10075,72327
899,10338,72233
898,10308,71490
897,10226,72175
900,10472,71939
901,10354,72112
902,10226,72114
903,10211,72067
904,9778,71961
905,10165,72299
906,9892,72011
907,10240,72228
910,10160,72272
909,10146,71962
908,10019,72482
911,10316,72142
912,10392,72310
913,10273,72129
914,9971,71756
916,10272,72203
915,10167,71819
917,10199,71968
918,10260,72535
919,10005,72037
920,10140,72139
921,10023,72138
922,10263,72456
923,10391,71871
926,10313,72179
924,10057,72043
925,9766,72264
929,10006,71967
930,10300,71799
931,10450,72390
927,10275,72389
928,10533,72472
932,9912,72294
933,10088,72272
934,10063,71984
935,10270,72081
936,10321,72538
937,10508,72569
938,10353,71915
941,10251,72099
940,10375,72232
939,10159,72254
942,10360,72239
943,10044,72106
944,10232,72530
946,10350,72250
948,10176,72104
945,10013,71796
947,10285,72172
949,10365,72307
951,10290,72414
950,10358,72279
952,10204,72481
953,9952,72010
954,10269,72265
955,10001,72196
956,10217,72280
958,10381,72170
959,10200,72002
957,10314,72285
960,10241,72387
961,10258,72334
962,10122,72194
963,9989,72092
964,10274,72299
965,10291,72589
966,10124,72119
967,9853,72172
968,10094,72196
969,10311,72303
971,10256,72778
972,10068,72514
973,10507,72748
970,10118,72298
974,10380,72506
977,10178,72156
975,10429,72581
976,10668,72877
978,10445,72214
981,10556,72651
980,9860,72115
979,10535,72558
1001,5311,39384
1000,5393,39688
982,10389,72361
1002,5073,39220
1003,5156,39375
983,10225,72294
1004,5072,39128
984,10336,72450
987,10331,72747
1005,5213,39654
986,9920,72123
988,10262,72496
1006,5232,39229
1007,5226,39626
985,10210,72355
990,10218,72843
989,10165,72439
1008,5346,39534
1009,5259,39385
1010,5123,39324
993,10182,72339
991,10285,72638
992,10343,72533
994,10190,72412
1011,5128,39108
1013,5211,39228
1012,5090,39285
1014,5250,39284
1015,5157,39227
995,10440,72655
1016,5253,39038
1017,5160,39269
996,10403,72362
1018,4982,39174
998,10178,72500
1019,5291,39350
997,10514,72770
1021,5216,39428
1020,5177,39022
1022,5125,39200
1023,5109,39162
1024,5072,39004
1027,5173,39492
1025,5148,39426
1028,5136,39152
1026,5113,39333
999,10506,72560
1029,5251,39272
1031,5132,39277
1030,5151,39375
1032,5268,39332
1034,5025,39215
1033,5070,39036
1035,5102,39281
1036,5067,39149
1038,5088,39105
1037,5111,39442
1039,5116,39250
1040,5012,38926
1042,5224,39055
1041,5116,39178
1043,5350,39474
1045,5084,39046
1044,5193,39255
1046,5310,39378
1048,5128,39115
1049,5164,39129
1047,5129,39045
1050,5161,39139
1053,5027,39014
1054,5266,39190
1055,5144,39054
1051,5194,39529
1052,5171,39383
1061,5035,39152
1060,5244,39134
1056,5092,38635
1057,5126,39238
1058,5135,39328
1059,5008,38953
1062,5263,39329
1063,5174,39354
1064,4990,39060
1065,5071,39235
1066,5161,39275
1067,5104,38751
1068,5005,38721
1069,5119,39129
1070,5104,39132
1071,4950,39132
1072,5012,38734
1076,5088,38622
1074,4973,39132
1073,5231,38879
1075,4856,38999
1078,5023,38908
1077,5113,39202
1083,5075,38957
1080,5154,39197
1082,4986,39050
1079,5062,39010
1081,5209,39156
1086,5075,38994
1084,5036,39217
1087,5041,39112
1085,5069,39171
1088,5018,38985
1089,5037,38988
1090,5119,38855
1092,5137,38954
1091,5040,38932
1093,5028,39060
1094,4932,38691
1095,5143,39094
1098,5125,39094
1097,5014,39008
1096,5076,39016
1099,5198,38937
1100,5021,38612
1103,4976,38704
1104,5032,39045
1101,5120,39263
1102,5049,39130
1106,4981,38709
1105,4977,39186
1109,4965,38666
1111,4985,39074
1107,5163,39213
1110,5049,38967
1108,5083,38723
1116,4791,38693
1112,4985,38969
1113,5075,38956
1115,5050,38850
1114,5000,38925
1121,5064,38796
1117,4939,38850
1118,4984,38916
1120,5065,38571
1119,5057,39037
1123,4947,38784
1122,4969,39289
1125,5003,38900
1126,4903,38957
1124,5010,38802
1127,5079,38710
1128,5062,38724
1129,4889,39004
1131,4922,38682
1132,5078,38880
1130,5007,38684
1133,4974,38963
1134,5154,38616
1136,4988,38722
1135,5116,38540
1137,4878,38542
1138,5042,38737
1139,4974,38950
1140,5049,38810
1142,4997,38890
1141,4980,38815
1144,4929,38859
1147,4835,38954
1143,5071,38958
1146,4980,38548
1145,4889,38829
1148,4901,38826
1150,4925,38878
1149,5004,39043
1152,4920,38793
1153,4872,38571
1151,4922,38643
1154,5018,38615
1155,5106,39039
1157,4974,38705
1156,4956,38358
1158,4783,38598
1159,4931,38691
1160,4881,38571
1161,4984,38933
1162,4986,38812
1163,4873,38604
1167,4987,38836
1168,4939,38634
1164,4982,39009
1166,4754,38685
1165,4816,38808
1170,4860,38396
1171,4759,38628
1169,4803,38476
1172,4653,38229
1173,5065,38945
1176,4860,38744
1179,4870,38456
1175,4895,38566
1178,4871,38795
1177,4977,38485
1174,5102,38834
1181,5030,38785
1182,4853,38892
1180,4934,38511
1183,4709,38424
1184,4761,38352
1185,5047,38690
1186,4961,38524
1187,4904,38571
1188,4752,38569
1190,4758,38827
1189,4934,38283
1191,4794,38413
1192,4882,38732
1193,4898,38359
1195,4886,38521
1199,4899,38457
1194,5050,38831
1196,4999,38543
1201,4729,38354
1200,4963,38726
1197,4860,38489
1198,4772,38646
1202,4885,38548
1203,4758,38627
1205,4724,38213
1204,4723,38278
1207,4695,38632
1208,4871,38773
1209,4886,38564
1206,4911,38600
1211,4889,38518
1210,4948,38633
1213,4705,38213
1212,4687,38379
1214,4940,38495
1216,4866,38603
1215,4792,38262
1217,4992,38745
1218,4806,38020
1219,4719,38465
1221,4736,38487
1220,4737,38454
1222,4743,38546
1224,4729,38606
1223,4677,38193
1226,4648,38547
1228,4782,38546
1225,4805,38336
1229,4694,38097
1227,4812,38616
1230,4671,38230
1231,4834,38865
1233,4688,38202
